TRADEDATE,AFKS,AFLT,ALRS,CBOM,CHMF,DSKY,ENPG,FEES,FIVE,FIXP,GAZP,GLTR,GMKN,HHRU,HYDR,IRAO,LKOH,MAGN,MGNT,MOEX,MTSS,NLMK,NVTK,OZON,PHOR,PIKK,PLZL,POGR,POLY,ROSN,RTKM,RUAL,SBER,SBERP,SNGS,SNGSP,TATN,TATNP,TCSG,TRNFP,VKCO,VTBR,YNDX
2013-03-25,,,,,,,,,,,,,,,,,1922.0,,,,,,,,,,,,,,,,98.79,73.35,,,,,,,,0.05043,
2013-03-26,,,,,,,,,,,,,,,,,1944.5,,,,,,,,,,,,,,,,97.2,72.3,,,,,,,,0.0494,
2013-03-27,,,,,,,,,,,,,,,,,1969.7,,,,,,,,,,,,,,,,96.75,72.28,,,,,,,,0.04821,
2013-03-28,,,,,,,,,,,,,,,,,1993.2,,,,,,,,,,,,,,,,98.59,75.12,,,,,,,,0.04979,
2013-03-29,,,,,,,,,,,,,,,,,2003.4,,,,,,,,,,,,,,,,98.76,75.11,,,,,,,,0.04987,
2013-04-01,,,,,,,,,,,,,,,,,1978.2,,,,,,,,,,,,,,,,98.07,75.04,,,,,,,,0.04924,
2013-04-02,,,,,,,,,,,,,,,,,2002.2,,,,,,,,,,,,,,,,98.93,74.62,,,,,,,,0.04915,
2013-04-03,,,,,,,,,,,,,,,,,1978.9,,,,,,,,,,,,,,,,99.59,74.64,,,,,,,,0.04825,
2013-04-04,,,,,,,,,,,,,,,0.56,,1966.9,,,48.13,,,,,,,,,,,,,99.91,74.87,,,,,,,,0.04726,
2013-04-05,,,,,,,,,,,,,,,0.55,,1942.8,,,47.69,,,,,,,,,,,,,99.38,73.57,,,,,,,,0.04693,
2013-04-08,,,,,,,,,,,,,,,0.54,,1924.3,,,47.54,,,,,,,,,,,,,100.43,72.7,,,,,,,,0.04755,
2013-04-09,,,,,,,,,,,,,,,0.532,,1965.9,,,47.48,,,,,,,,,,,,,102.53,73.58,,,,,,,,0.04921,
2013-04-10,,,,,,,,,,,,,,,0.5416,,1942.3,,,46.96,,,317.74,,,,,,,,,,100.56,71.42,,,,,,,,0.04813,
2013-04-11,,,,,,,,,,,,,,,0.515,,1920.0,,,45.73,,,,,,,,,,,,,100.31,69.32,,,,,,,,0.04792,
2013-04-12,,,,,,,,,,,,,,,0.5,,1934.4,,,45.63,,,,,,,,,,,,,98.34,69.47,,,,,,,,0.04696,
2013-04-15,,,,,,,,,,,,,,,0.495,,1886.0,,,45.59,,,,,,,,,,,,,95.48,67.77,,,,,,,,0.04565,
2013-04-16,,,,,,,,,,,,,,,0.495,,1899.4,,,43.43,,,,,,,,,,,,,95.92,67.59,,,,,,,,0.04536,
2013-04-17,,,,,,,,,,,,,,,0.4705,,1892.3,,,43.43,,,310.0,,,,,,,,,,94.58,67.67,,,,,,,,0.04389,
2013-04-18,,,,,,,,,,,,,,,0.4727,,1893.9,,,42.63,,,,,,,,,,,,,95.35,68.39,,,,,,,,0.04352,
2013-04-19,,,,,,,,,,,,,,,0.45,,1887.6,,,43.46,,,,,,,,,,,,,96.22,70.3,,,,,,,,0.0438,
2013-04-22,,,,,,,,,,,,,,,0.4901,,1849.7,,,43.65,,,,,,,,,,,,,95.1,69.65,,,,,,,,0.04431,
2013-04-23,,,,,,,,,,,,,,,0.4911,,1890.6,,,43.95,,,,,,,,,,,,,96.46,70.05,,,,,,,,0.04588,
2013-04-24,,,,,,,,,,,,,,,0.5321,,1963.5,,,44.52,,,,,,,,,,,,,97.89,70.53,,,,,,,,0.0456,
2013-04-25,,,,,,,,,,,,,,,0.52,,1960.0,,,44.22,,,,,,,,,,,,,96.11,70.93,,,,,,,,0.0451,
2013-04-26,,,,,,,,,,,,,,,0.51,,1965.5,,,44.68,,,,,,,,,,,,,95.6,70.32,,,,,,,,0.04546,
2013-04-29,,,,,,,,,,,,,,,0.52,,1935.9,,,44.61,,,,,,,,,,,,,94.83,69.87,,,,,,,,0.04728,
2013-04-30,,,,,,,,,,,,,,,0.55,,1963.8,,,44.91,,,,,,,,,,,,,99.3,72.21,,,,,,,,0.04974,
2013-05-02,,,,,,,,,,,,,,,0.58,,1974.7,,,44.42,,,,,,,,,,,,,100.84,72.24,,,,,,,,0.04886,
2013-05-03,,,,,,,,,,,,,,,0.5851,,2008.7,,,44.55,,,,,,,,,,,,,102.92,72.77,,,,,,,,0.0491,
2013-05-06,,,,,,,,,,,,,,,0.5752,,2016.6,,,46.1,,,,,,,,,,,,,102.28,73.35,,,,,,,,0.04931,
2013-05-07,,,,,,,,,,,,,,,,,2038.0,,,47.2,,,,,,,,,,,,,105.14,74.73,,,,,,,,0.05065,
2013-05-08,,,,,,,,,,,,,,,,,2035.0,,,48.7,,,,,,,,,,,,,105.81,75.83,,,,,,,,0.05085,
2013-05-10,,,,,,,,,,,,,,,,,2000.9,,,48.6,,,,,,,,,,,,,103.78,75.39,,,,,,,,0.04989,
2013-05-13,,,,,,,,,,,,,,,0.532,,2005.0,,,48.74,,,,,,,,,,,,,103.34,75.81,,,,,,,,0.04722,
2013-05-14,,,,,,,,,,,,,,,0.548,,2015.6,,,48.87,,,310.0,,,,,,,,,,103.84,75.57,,,,,,,,0.0459,
2013-05-15,,,,,,,,,,,,,,,0.548,,2017.0,,,50.26,,,,,,,,,,,,,103.22,75.27,,,,,,,,0.0454,
2013-05-16,,,,,,,,,,,,,,,0.515,,2002.0,,,50.27,,,,,,,,,,,,,102.45,75.16,,,,,,,,0.04434,
