ticker,date,dividends,currency
PHOR,2015-01-11,20.0,RUR
GCHE,2015-04-17,54.6,RUR
LSRG,2015-04-18,78.0,RUR
KAZT,2015-05-05,2.0,RUR
KAZTP,2015-05-05,2.0,RUR
NVTK,2015-05-05,5.2,RUR
MTSS,2015-07-07,19.56,RUR
NKNC,2015-05-09,1.52,RUR
NKNCP,2015-05-09,1.52,RUR
MOEX,2015-05-12,3.87,RUR
TTLK,2015-05-12,0.005,RUR
KZOS,2015-05-19,1.0105,RUR
KZOSP,2015-05-19,0.25,RUR
GMKN,2015-05-25,670.04,RUR
MSTT,2015-05-25,7.09,RUR
VSMO,2015-05-28,831.07,RUR
AKRN,2015-06-02,139.0,RUR
CHMF,2015-06-05,14.65,RUR
CHMF,2015-06-05,12.81,RUR
IRAO,2015-06-09,0.001039679119,RUR
VZRZP,2015-06-11,2.0,RUR
SBER,2015-06-15,0.45,RUR
SBERP,2015-06-15,0.45,RUR
NLMK,2015-06-16,1.56,RUR
NLMK,2015-06-16,1.64,RUR
MGNT,2015-06-19,132.57,RUR
PHOR,2015-06-19,15.0,RUR
SIBN,2015-06-22,1.85,RUR
MSNG,2015-06-24,0.01,RUR
OGKB,2015-06-25,0.00814151591815,RUR
ENRU,2015-06-29,0.080731,RUR
MRKP,2015-06-29,0.0031,RUR
MRKU,2015-06-29,0.0058,RUR
MRKV,2015-06-29,0.0001,RUR
MVID,2015-06-29,27.0,RUR
ROSN,2015-06-29,8.21,RUR
BSPB,2015-07-03,2.02,RUR
CNTLP,2015-07-03,0.5813052,RUR
RTKM,2015-07-03,3.34108279423228,RUR
RTKMP,2015-07-03,4.050033904632,RUR
MSRS,2015-07-06,0.0422,RUR
VTBR,2015-07-06,0.00117,RUR
HYDR,2015-07-07,0.01561855,RUR
MRKC,2015-07-07,0.0197,RUR
PMSBP,2015-07-07,6.854557,RUR
UPRO,2015-07-07,0.2776423960677,RUR
ZVEZ,2015-07-07,0.01,RUR
KRKNP,2015-07-08,1713.22,RUR
MGTSP,2015-07-08,56.27,RUR
MRKS,2015-07-08,0.0003,RUR
TGKA,2015-07-10,0.000225403,RUR
TRCN,2015-07-10,70.96,RUR
MTLRP,2015-07-11,0.05,RUR
UNAC,2015-07-11,0.001971,RUR
NKHP,2015-07-12,5.17292,RUR
MFON,2015-07-13,16.13,RUR
NMTP,2015-07-13,0.2336,RUR
LKOH,2015-07-14,94.0,RUR
OMZZP,2015-07-14,0.012,RUR
ALRS,2015-07-15,1.47,RUR
HIMCP,2015-07-15,0.00053,RUR
IRKT,2015-07-15,0.2075,RUR
TATN,2015-07-15,10.58,RUR
TATNP,2015-07-15,10.58,RUR
AFKS,2015-07-16,0.47,RUR
FEES,2015-07-16,0.0006647883,RUR
GAZP,2015-07-16,7.2,RUR
SNGS,2015-07-16,0.65,RUR
SNGSP,2015-07-16,8.21,RUR
BANE,2015-07-17,113.0,RUR
